sRNA,Xenorhabdus,Edwardsiella,Dickeya,Pectobacterium,Rahnella,Serratia,Yersinia,Erwinia,Pantoea,Cedecea,Cronobacter,Enterobacter,Klebsiella,Escherichia,Shigella,Citrobacter,Salmonella,Total_annotations,Missing_in
AmgR,0,0,0,0,0,4,8,0,0,0,0,1,28,0,0,0,128,169,239
ArcZ,1,0,5,0,0,1,45,2,5,3,6,16,37,89,9,4,128,351,57
C0664,0,0,0,0,0,0,0,0,0,0,0,12,36,98,9,4,128,287,121
ChiX,0,0,0,0,0,0,0,0,2,3,6,15,37,97,9,4,128,301,107
CsrB,0,5,1,8,3,13,52,3,7,3,6,16,37,98,9,4,128,394,14
CsrC,0,0,0,0,0,0,0,0,5,0,6,16,36,98,9,4,128,302,106
CyaR,4,1,6,3,0,10,1,0,0,3,6,16,37,97,9,4,128,325,83
DapZ,0,0,0,0,0,2,7,0,1,0,5,16,36,0,0,4,128,199,209
DsrA,0,0,0,0,0,0,0,0,0,3,6,16,37,92,9,4,128,295,113
FnrS,0,5,6,8,3,13,52,3,7,3,6,16,37,97,9,4,128,398,10
GcvB,5,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,404,4
GlmY,5,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,404,4
GlmZ,5,5,6,8,3,13,50,1,7,3,6,16,32,98,9,4,128,394,14
InvR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
IsrA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,297
IsrB‑1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,37,39,369
IsrB‑2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,37,39,369
IsrC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,300
IsrD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,284
IsrF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,327
IsrG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,107,108,300
IsrH_1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
IsrI,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,37,43,365
IsrJ,0,0,0,1,0,0,0,0,0,0,0,6,9,2,0,1,36,55,353
IsrK,0,2,4,3,0,1,3,0,0,0,1,2,9,31,5,0,27,89,319
IsrL,0,0,0,0,0,0,0,0,1,3,0,11,1,1,0,3,128,148,260
IsrM,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,22,25,383
IsrN,0,2,4,2,3,7,8,3,4,1,0,1,24,3,0,0,87,149,259
IsrO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
IsrP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
IsrQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
IstR‑1_2,0,0,0,0,0,0,0,0,0,0,6,16,35,77,8,4,127,273,135
MgrR,0,0,0,0,0,0,0,0,0,0,0,6,5,96,9,4,127,247,161
MicA,0,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,399,9
MicC,0,0,0,0,0,0,0,0,0,0,0,0,34,96,9,4,128,271,137
MicF,0,0,0,0,0,0,0,0,0,3,6,16,37,91,9,4,128,294,114
OmrA,0,5,6,8,3,13,52,1,7,3,0,16,37,98,9,4,127,390,18
OmrB,0,5,0,0,0,8,0,1,7,3,6,11,37,98,7,4,124,311,97
OxyS,0,0,0,0,0,0,0,0,0,3,6,16,30,98,9,4,128,294,114
RprA,0,0,0,0,3,12,0,3,7,3,6,16,37,98,9,4,128,326,82
RseX,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,128,130,278
RybA,0,0,0,0,0,0,0,0,0,0,0,16,36,98,9,4,127,290,118
RybB,5,5,6,8,3,13,52,0,0,3,6,16,37,98,9,4,126,392,16
RybD,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,128,160,248
RydB,0,0,0,0,0,0,0,0,1,0,0,0,7,97,9,3,128,245,163
RydC,0,0,0,0,0,0,0,0,0,0,0,0,0,97,9,1,124,231,177
RyeC,0,0,0,0,0,0,0,0,1,0,0,0,0,98,9,4,128,240,168
RyeF,1,0,3,0,3,0,7,3,7,3,6,16,32,98,9,4,128,321,87
RyfA,0,0,0,0,1,1,8,0,0,0,0,11,0,98,9,2,125,255,153
RygC,0,0,0,0,0,0,0,0,0,0,0,0,5,98,9,2,125,239,169
RygD,0,0,0,0,0,0,0,0,0,0,0,0,3,98,9,2,125,237,171
RyhB‑1,5,0,0,3,3,1,2,0,7,3,6,16,37,98,9,4,128,322,86
RyhB‑2,0,5,2,1,0,10,2,0,6,0,0,16,34,0,0,3,127,207,201
RyjB,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,126,162,246
SdsR,3,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,401,7
SgrS,0,0,0,0,0,0,0,0,0,3,5,16,37,97,9,4,128,299,109
Spf,5,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,404,4
SraA,0,0,2,8,0,13,52,0,1,3,6,16,36,92,9,4,128,371,37
SraB,0,0,0,0,0,0,0,0,0,0,0,0,0,98,9,3,128,238,170
SraC,0,0,2,0,0,6,2,0,1,3,6,16,37,98,9,4,128,312,96
SraF,0,5,6,8,2,13,11,3,7,3,6,16,37,97,9,3,128,355,53
SraG,5,5,6,8,3,13,51,3,7,3,6,16,37,98,9,4,128,403,5
SraL,0,0,0,0,0,0,0,0,0,3,0,16,36,98,8,4,128,293,115
sRNA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
sRNA10,0,0,0,0,0,0,0,0,0,0,0,8,2,98,8,4,128,248,160
sRNA12,0,0,0,0,0,0,0,0,0,0,0,6,0,97,9,4,128,244,164
sRNA3,2,0,6,8,3,13,50,3,7,3,6,16,37,98,9,4,128,394,14
sRNA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,129,279
SroA,5,5,6,8,3,13,12,3,7,3,6,16,37,98,9,4,128,364,44
SroC,0,0,2,0,0,0,0,0,7,3,6,16,37,98,9,4,128,311,97
SroG,4,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,403,5
SsrS,1,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,400,8
STnc070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc1010,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,128,153,255
STnc1030,2,0,6,7,0,0,13,0,2,0,0,1,12,1,0,1,123,168,240
STnc1040,0,1,6,7,0,7,4,0,5,0,0,1,34,98,9,1,126,299,109
STnc1060,0,0,0,0,0,0,0,0,0,0,0,0,4,94,9,1,121,229,179
STnc1080,0,0,0,0,0,0,0,0,0,0,0,7,5,1,0,0,42,55,353
STnc1090,0,0,0,0,0,0,9,1,0,0,1,16,7,98,9,4,128,273,135
STnc1110,0,0,0,0,0,0,0,0,0,0,0,0,5,95,7,4,127,238,170
STnc1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc1160,0,2,3,1,0,0,27,0,0,0,1,4,3,36,8,2,27,115,293
STnc1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,129,279
STnc1180,0,0,0,0,0,0,0,0,0,0,0,0,0,98,9,2,127,236,172
STnc1200,1,1,2,1,0,0,7,0,0,0,1,0,5,14,3,1,111,147,261
STnc1210,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,123,155,253
STnc1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc1270,0,0,0,1,0,3,0,0,0,3,6,16,37,98,9,4,128,305,103
STnc1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,389
STnc1290,5,5,6,7,3,12,47,0,2,1,3,15,26,49,9,3,47,241,167
STnc1300,0,0,0,0,0,0,0,0,0,0,5,3,8,44,2,2,26,90,318
STnc1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,395
STnc1320,0,0,0,0,0,0,0,0,3,1,1,6,0,12,4,1,114,142,266
STnc1330,0,0,0,0,0,3,0,0,7,3,6,14,1,97,8,2,128,270,138
STnc1340,0,0,0,0,0,0,0,0,0,3,6,16,37,98,9,4,128,301,107
STnc1380,5,2,6,6,0,5,30,1,0,1,0,1,3,32,2,2,101,197,211
STnc1390,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,1,32,52,356
STnc1400,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,1,6,20,388
STnc1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc1420,0,0,0,0,0,0,0,0,1,0,0,0,8,98,9,4,128,248,160
STnc1430,0,0,0,0,0,0,0,0,0,0,0,0,7,98,9,3,125,242,166
STnc1460,0,0,0,6,1,4,6,0,0,0,0,3,36,24,4,3,126,213,195
STnc1470,0,0,0,1,0,0,0,0,5,0,0,1,5,68,4,0,50,134,274
STnc1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,340
STnc150,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,128,138,270
STnc1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,128,131,277
STnc1510,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,112,127,281
STnc1530,0,5,0,0,0,0,11,0,0,0,0,1,34,0,0,4,125,180,228
STnc1540,0,4,5,8,3,13,52,3,7,3,6,16,37,98,9,4,128,396,12
STnc1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,128,132,276
STnc1560,0,0,0,0,0,0,0,0,0,0,0,8,36,98,9,4,128,283,125
STnc1590,0,3,5,3,0,2,19,2,1,0,1,3,11,13,4,1,124,192,216
STnc1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc1640,0,0,0,0,0,0,0,0,0,3,2,5,32,98,9,2,128,279,129
STnc1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,128,131,277
STnc1660,0,0,0,0,0,0,0,0,0,0,0,16,36,98,9,4,128,291,117
STnc1670,0,0,0,0,0,0,0,0,0,3,0,16,35,98,9,4,128,293,115
STnc1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,286
STnc1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,297
STnc1740,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,29,379
STnc1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc1820,0,0,0,0,0,0,0,0,0,0,0,14,36,98,9,4,128,289,119
STnc1830,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,126,159,249
STnc1860,0,0,0,0,0,0,0,0,0,0,6,16,36,98,9,4,128,297,111
STnc1870,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,120,128,280
STnc1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,379
STnc1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,281
STnc200,0,0,0,0,0,0,0,0,0,3,6,16,36,98,9,4,128,300,108
STnc2010,0,0,0,0,0,0,0,0,0,0,0,1,0,38,2,4,128,173,235
STnc2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc2040,0,0,0,0,0,0,0,0,0,0,0,9,0,98,9,2,128,246,162
STnc2050,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,99,101,307
STnc2070,0,0,0,0,1,1,8,0,0,0,0,0,0,98,9,3,125,245,163
STnc2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,383
STnc2090,2,5,4,8,2,13,52,3,7,3,6,16,37,98,9,4,128,397,11
STnc2100,0,0,0,0,0,0,0,0,0,2,6,16,37,97,6,4,128,296,112
STnc2110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,128,132,276
STnc2130,0,1,0,0,0,11,51,0,4,3,6,16,37,98,7,4,128,366,42
STnc2160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,29,379
STnc2170,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,2,121,135,273
STnc2180,0,0,0,1,0,1,0,0,2,3,6,16,37,98,9,3,128,304,104
STnc290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,291
STnc3000,0,0,0,0,0,0,0,0,0,0,2,16,36,98,9,4,128,293,115
STnc3010,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,128,133,275
STnc3020,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,128,138,270
STnc3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc3040,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,128,134,274
STnc3050,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,123,128,280
STnc3060,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,95,97,311
STnc3070,0,0,0,0,0,0,0,0,0,3,0,3,9,1,0,3,128,147,261
STnc3080,0,0,0,0,0,0,0,0,0,0,0,16,25,98,9,4,128,280,128
STnc3090,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,123,128,280
STnc310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,281
STnc3100,0,1,0,2,2,7,11,2,5,0,0,15,22,98,9,4,128,306,102
STnc3110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc3120,0,0,0,0,3,0,0,0,4,0,6,13,0,63,4,4,128,225,183
STnc3130,0,0,0,0,0,0,0,0,0,0,0,12,36,98,9,4,128,287,121
STnc3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc3150,0,0,0,0,0,0,0,0,0,0,0,9,0,24,4,0,125,162,246
STnc3160,0,0,0,0,0,0,0,0,0,3,0,14,6,91,0,2,128,244,164
STnc3170,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,26,29,379
STnc3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119,289
STnc3210,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,128,135,273
STnc3220,0,5,6,8,3,13,14,0,6,3,6,15,37,98,4,4,128,350,58
STnc3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc3240,0,0,0,0,0,0,0,0,0,0,0,12,36,98,9,4,128,287,121
STnc3250,0,0,0,0,0,0,0,0,0,0,0,5,0,41,6,3,128,183,225
STnc3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,301
STnc3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc3290,0,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,401,7
STnc3300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,38,43,365
STnc3310,4,5,4,8,3,10,11,1,1,1,6,5,31,98,9,2,128,327,81
STnc3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,281
STnc3340,0,0,0,0,0,0,0,0,0,2,0,9,0,2,0,2,128,143,265
STnc3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,129,279
STnc3390,0,0,0,0,0,0,0,0,0,0,0,1,2,97,9,3,128,240,168
STnc340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126,127,281
STnc3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc3410,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4,2,128,215,193
STnc3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,281
STnc3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,281
STnc3460,0,0,0,0,0,0,0,0,0,0,0,9,30,96,8,2,128,273,135
STnc3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,127,129,279
STnc3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc350,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,4,128,164,244
STnc3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc3510,0,0,0,0,0,1,1,0,0,0,6,15,36,96,9,4,128,296,112
STnc3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc3540,4,3,6,8,3,1,12,0,0,3,6,16,37,98,9,4,128,338,70
STnc3550,0,0,0,0,0,0,1,0,0,0,0,2,0,97,8,4,128,240,168
STnc3570,0,0,0,1,0,0,0,0,0,1,6,7,28,0,0,0,128,171,237
STnc3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116,292
STnc3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,129,279
STnc3620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc3630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc3640,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,113,119,289
STnc3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,300
STnc3700,0,0,0,0,0,0,0,0,0,3,6,16,37,97,7,4,128,298,110
STnc3720,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,128,146,262
STnc3730,0,0,0,0,0,0,0,0,0,0,0,0,0,75,6,4,128,213,195
STnc3740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,282
STnc3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,286
STnc3770,0,0,0,0,0,0,0,0,0,0,0,1,1,29,5,0,44,80,328
STnc3790,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,128,141,267
STnc380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,405
STnc3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,128,130,278
STnc3850,0,0,0,0,0,0,0,0,0,3,6,16,37,98,9,4,128,301,107
STnc3860,5,5,6,8,3,13,52,0,7,3,6,16,37,98,9,4,128,401,7
STnc3870,0,0,6,5,2,2,30,0,0,0,0,0,16,58,7,3,128,258,150
STnc3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,123,285
STnc3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,296
STnc3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,364
STnc3960,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,128,140,268
STnc3970,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,128,130,278
STnc3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,283
STnc400,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21,23,385
STnc4000,0,0,0,0,0,0,0,0,0,0,0,1,0,37,7,2,128,175,233
STnc4010,0,0,0,0,0,0,0,0,0,0,0,15,31,98,9,4,128,285,123
STnc4020,0,0,0,0,0,0,0,0,0,0,0,0,2,97,8,3,128,238,170
STnc4040,0,0,0,0,0,0,0,0,0,2,0,0,7,6,0,3,126,144,264
STnc4070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,295
STnc4080,0,3,0,0,0,0,0,0,7,3,6,16,37,98,9,4,128,311,97
STnc4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,362
STnc4110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,284
STnc4120,0,0,0,0,0,0,0,0,0,3,0,15,1,98,8,4,128,257,151
STnc4130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,369
STnc4140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,49,359
STnc4150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc4160,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,123,129,279
STnc4170,0,0,6,8,1,0,9,0,0,0,0,0,14,2,1,1,126,168,240
STnc4180,0,0,0,0,0,0,0,0,0,0,6,14,36,98,9,4,128,295,113
STnc4190,0,0,0,0,0,0,0,0,0,2,3,16,31,98,9,3,128,290,118
STnc4200,0,0,0,0,0,0,0,0,0,0,0,3,2,18,0,0,50,73,335
STnc4210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc4220,5,5,6,8,3,13,49,3,7,3,6,16,37,98,9,4,128,401,7
STnc4230,0,0,0,0,0,0,0,1,0,3,5,16,37,98,9,4,128,301,107
STnc4240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc4250,0,0,0,0,2,1,0,3,0,2,6,15,1,98,9,4,127,268,140
STnc4260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,282
STnc440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,281
STnc480,0,0,0,0,0,0,0,0,0,0,0,0,1,96,0,1,114,212,196
STnc490,0,3,3,4,1,0,42,0,0,0,0,0,0,33,1,1,100,188,220
STnc500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,288
STnc520,0,0,0,0,0,0,0,1,0,0,0,0,0,96,9,2,128,236,172
STnc540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,128,131,277
STnc630,0,0,0,0,0,0,0,0,0,0,0,0,0,98,8,4,128,238,170
STnc700,5,5,6,8,3,13,52,3,7,3,6,16,37,98,9,4,128,403,5
STnc710,0,0,0,0,0,0,0,0,0,0,0,0,7,98,9,2,125,241,167
STnc740,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,0,38,113,295
STnc750,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,108,109,299
STnc760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,128,131,277
STnc780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,299
STnc790,2,0,5,8,3,13,50,3,2,3,6,13,37,98,9,4,128,384,24
STnc800,3,0,6,8,3,13,52,1,2,3,4,12,37,98,9,4,128,383,25
STnc810,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,127,154,254
STnc840,0,0,0,0,0,0,0,0,0,0,0,3,0,96,9,4,128,240,168
STnc850,0,0,0,0,0,0,0,0,0,0,5,16,36,98,9,4,128,296,112
STnc870,4,5,6,8,3,13,52,2,7,2,6,16,37,98,9,4,128,401,7
STnc880,0,0,0,0,0,0,0,0,0,3,6,16,37,98,9,4,128,301,107
STnc890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,280
STnc920,0,0,0,0,0,0,0,0,0,0,0,15,0,97,9,4,125,250,158
STnc930,0,0,0,0,0,0,0,0,0,3,6,16,37,97,9,4,128,300,108
STnc950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,282
STnc980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,127,128,280
t44,0,5,0,1,0,1,38,1,2,0,6,16,36,98,9,4,128,345,63
tp2,0,0,0,0,3,0,0,0,2,3,0,1,0,98,9,4,126,246,162
tpke11,3,0,1,0,3,8,42,3,0,3,6,16,37,98,9,3,128,360,48
tpke70,0,0,0,0,0,0,0,0,0,3,6,16,37,98,9,4,128,301,107
