gene,EEP,MEP,LEP,ESP,LSP,25�C,NaCl_shock,Bile_shock,Low_Fe2+_shock,Anaerobic_shock_gap,Anaerobic_growth,Oxygen_shock,NonSPI2,InSPI2,Peroxide_shock_(InSPI2),Nitric_oxide_shock_(InSPI2),Macrophage
tpke11,365,457,202,186,60,127,1498,694,2398,563,101,501,178,78,360,165,382
STnc890,291,378,227,285,253,184,978,506,1761,1500,262,437,307,241,201,746,522
STnc3200,11,15,24,22,14,20,17,27,36,47,33,11,23,18,28,57,5
STnc3210,7,7,20,16,61,9,49,9,8,10,7,11,11,42,7,146,21
STnc1010,173,234,304,402,1000,78,327,281,337,439,297,197,403,341,434,534,47
STnc3220,48,60,34,53,37,86,113,64,115,156,66,34,44,87,105,63,45
STnc4160,24,38,54,28,35,14,39,7,43,55,51,39,52,92,99,68,49
STnc3090,16,8,9,11,7,8,16,1,12,13,10,12,11,141,135,73,234
DapZ,2077,2151,36706,46703,4844,1981,1160,1420,3966,4618,21066,47244,11760,6160,8062,12044,644
STnc3230,12,25,76,96,71,40,94,52,54,44,94,40,32,157,64,190,18
STnc470,50,95,203,301,516,95,523,59,86,92,140,182,624,2776,1756,2851,1248
STnc4170,40,44,41,25,8,46,108,41,57,34,60,47,72,87,33,142,276
STnc3240,43,54,61,72,17,55,59,66,101,86,93,67,54,58,43,126,60
STnc4180,273,320,139,80,7,187,234,58,335,69,67,89,146,101,77,70,20
SroA,15971,16958,10508,6317,1357,22531,8080,423,28981,9970,5347,3145,7428,2616,3120,2134,216
SgrS,150,592,242,620,148,252,346,313,619,1170,547,332,565,411,267,308,234
STnc1500,51,78,132,77,27,29,124,11,65,101,157,85,91,193,139,232,43
tp2,2,0,2,3,7,1,6,3,6,6,3,2,2,4,2,9,3
STnc4190,31,41,25,10,5,28,46,30,46,25,32,21,30,36,10,39,12
STnc3250,100,71,10,15,51,195,173,55,378,24,16,36,52,8,240,17,95
STnc1510,54,76,65,122,40,54,154,61,208,246,136,64,71,65,133,193,79
STnc3100,106,137,215,203,154,76,264,232,192,121,179,195,187,133,118,181,447
STnc3110,44,45,90,95,175,57,178,70,51,75,110,84,67,174,149,241,471
t44,2189,2197,1415,612,21,2124,1116,2134,1129,251,303,997,1736,713,186,277,1130
sRNA1,1576,1179,1089,1003,398,1281,1016,1719,1260,631,905,720,1359,497,409,803,250
STnc920,645,620,528,497,44,529,958,379,725,519,406,407,712,446,267,308,440
IsrA,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,2
STnc1030,7,10,7,10,2,5,14,12,11,8,11,10,8,6,7,10,16
STnc1040,7,7,9,6,1,2,10,17,13,2,1,9,5,5,0,5,9
STnc3270,56,58,61,43,30,25,89,69,123,80,54,64,63,55,72,127,48
STnc1700,40,44,71,89,150,66,106,34,18,11,63,199,70,186,106,193,22
STnc3280,57,63,48,39,34,38,70,56,152,114,63,40,51,55,41,78,18
STnc4150,5,14,30,20,74,13,36,9,33,20,40,29,25,38,26,100,11
STnc1060,765,926,1664,1632,2113,1186,2488,375,1769,1795,1662,1109,2012,2109,2020,2812,702
SraA,12,16,18,11,7,12,7,14,16,21,19,18,12,16,11,14,6
STnc930,33,40,51,46,93,90,36,52,88,188,141,63,97,98,494,118,55
4.5S,32957,60153,44416,15173,51654,37704,79978,15691,49206,59631,30911,33227,28887,56681,46997,34282,33644
STnc3130,49,50,113,166,94,25,98,3,78,135,182,162,125,126,145,193,42
ChiX,34705,34426,43752,57369,87211,26947,36197,40407,49460,61561,39252,31753,106298,67227,104263,138635,10337
STnc950,34,59,149,244,131,79,35,66,146,289,326,144,213,177,138,391,31
STnc480,194,214,456,732,845,166,101,199,324,505,630,363,698,482,558,750,40
STnc1870,9,2,0,3,10,6,4,3,2,2,21,1,3,1,1285,4,5
STnc3180,33,40,63,36,26,3,35,3,49,43,38,54,22,189,248,112,58
STnc070,1805,3023,2802,1517,170,2521,2495,2065,3915,1919,7186,16443,2229,2609,5818,3128,504
sRNA10,107,129,236,236,361,133,148,187,191,195,315,236,355,485,376,774,552
STnc3550,11,11,20,31,31,6,13,11,10,21,41,15,18,44,35,24,20
SroC,84,521,4691,3468,1374,327,579,663,1912,593,98,654,1071,954,1052,1140,574
STnc3290,20,20,24,41,54,12,76,28,28,38,31,49,62,118,129,106,62
STnc3300,38,62,64,75,80,20,127,107,407,260,44,43,53,52,94,76,20
sRNA9,598,532,419,260,26,638,886,581,453,187,324,389,503,343,239,243,470
RybD,138,743,3879,3108,260,1118,379,856,1021,1499,785,1404,1119,791,873,638,187
STnc3340,39,66,38,25,23,21,222,55,53,35,32,52,48,31,52,50,21
STnc980,26,18,16,18,19,21,32,42,10,16,34,44,8,20,26,35,36
RybA,188,223,355,440,1935,165,2310,168,185,334,154,827,142,1011,4553,692,3718
STnc1200,1028,1695,2232,2320,308,812,1956,128,1974,2488,2000,1973,1619,2630,3292,2346,875
STnc1710,72,101,119,160,634,130,131,86,71,117,135,100,76,133,325,168,98
RybB,352,391,237,381,4903,375,1579,347,459,1149,899,275,592,1190,1805,1193,7804
STnc490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STnc3310,160,168,159,121,139,166,131,214,128,126,206,155,152,204,169,250,98
STnc3330,2,2,7,26,9,1,7,12,58,116,30,3,4,1,11,6,7
STnc3350,56,61,44,53,16,51,18,30,36,80,23,34,71,24,13,66,8
STnc4200,78,98,87,52,32,163,127,97,162,122,144,79,110,217,155,186,169
IsrB‑1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsrB‑2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STnc1080,685,1347,1191,440,47,653,1747,145,781,740,686,647,1428,1713,1224,1278,1067
STnc3390,8,8,5,10,4,11,11,7,21,124,10,6,6,21,8,23,62
STnc1880,150,170,106,93,45,257,144,137,138,124,133,98,51,153,82,117,71
STnc3400,24,14,22,25,35,8,29,15,18,3,18,11,16,34,37,40,33
STnc500,83,93,1996,652,450,46,125,94,140,426,2870,614,291,245,251,231,166
STnc3040,10,14,15,18,52,19,86,13,24,27,24,20,15,21,33,62,13
STnc840,144,362,671,1075,364,196,662,243,363,681,810,684,244,25,23,28,20
SraB,552,467,514,305,89,448,300,380,369,129,792,531,530,413,290,532,152
STnc1090,37,34,43,50,33,17,60,51,72,80,69,65,54,60,40,84,64
STnc850,97,140,308,369,2834,161,1406,242,122,175,196,425,258,382,608,406,310
STnc3410,225,283,275,242,67,228,198,93,365,181,466,348,323,339,379,605,47
STnc150,21,37,45,47,61,53,57,44,45,35,60,56,38,254,88,149,334
IsrC,6,4,9,7,11,4,17,5,2,3,11,17,6,7,7,5,44
STnc3420,7,6,14,22,42,7,24,19,22,28,22,15,6,24,19,31,56
STnc520,1190,989,6317,5567,86,508,1128,431,807,824,3255,8496,463,496,583,391,664
STnc1760,34,57,42,52,109,50,39,24,53,101,77,42,26,42,81,56,20
STnc1210,597,665,499,295,793,583,1390,38,1121,1066,343,366,419,242,316,437,83
STnc1990,141,190,184,128,78,174,248,288,214,122,110,139,121,183,57,239,108
STnc3430,117,152,78,76,39,28,182,128,182,339,90,123,105,139,156,100,792
IsrD,1,1,0,1,2,2,0,0,0,2,0,0,3,3,0,2,1
STnc3440,37,42,126,118,372,17,75,61,66,16,70,115,107,211,34,424,20
RyhB‑2,77,86,25,18,2947,178,461,94,3398,56,16,55,158,13,1851,331,2020
STnc1480,14,10,95,293,30,13,29,14,10,30,82,82,27,437,383,438,2178
STnc1640,75,152,515,675,676,130,601,65,251,314,799,522,240,252,313,272,136
STnc2010,34,56,92,133,68,30,28,65,37,66,132,90,61,75,44,126,66
STnc3570,192,246,161,157,20,280,214,235,395,362,254,153,215,201,407,216,167
STnc3460,146,171,89,47,55,133,133,147,62,87,62,64,76,124,142,85,113
STnc4210,99,44,1950,3762,605,25,158,20,49,41,1045,2840,148,136,242,429,180
STnc540,965,863,1165,1599,529,964,1418,960,900,300,1430,1760,1228,845,519,1470,810
RprA,524,718,1805,3083,23003,918,12066,2244,873,2087,2069,2136,3774,2641,2726,1904,2644
RydB,255,317,369,356,262,283,179,87,304,229,664,428,1238,1521,727,1114,236
STnc1220,2,0,14,37,288,0,105,2,4,31,13,10,4,20,37,64,14
STnc4220,394,386,248,468,29,374,137,223,233,77,105,280,785,353,183,106,122
STnc3500,9,17,16,18,45,13,47,13,28,12,29,14,14,11,37,48,24
STnc3510,44,65,91,57,29,31,36,40,56,32,54,71,64,25,12,31,17
STnc3480,46,63,45,27,10,320,24,38,26,14,24,28,33,19,8,20,14
MgrR,4484,5195,5708,5214,4718,7241,7727,7811,5824,6882,6335,4740,14122,12090,12500,11863,8548
STnc2170,83,100,50,41,50,38,258,916,134,115,120,51,67,66,71,233,32
STnc3530,62,89,69,46,14,44,41,81,52,38,22,60,80,74,41,29,94
IsrF,9,7,13,9,3,18,18,11,11,20,17,15,12,14,13,8,8
STnc3540,92,112,165,278,11,65,62,154,163,97,145,150,158,143,83,104,125
STnc1110,99,136,288,417,564,142,236,111,131,102,330,353,100,162,87,325,64
RyjB,369,317,704,866,416,235,596,82,447,897,1103,1197,1176,1101,1139,1755,1363
RydC,14943,10196,6722,8334,7866,3332,7903,6930,12868,13434,4569,3240,27326,11196,16033,19032,1828
MicC,42,84,109,135,51,99,87,53,70,57,78,173,88,88,56,82,113
FnrS,33,56,107,1662,30,53,59,85,64,9540,10092,70,63,70,20,105,131
STnc2030,7,6,19,104,2448,13,21,12,7,8,14,33,10,17,7,15,28
STnc1270,400,563,435,260,44,518,352,576,430,118,645,331,298,637,240,298,230
STnc3580,63,56,69,71,135,52,104,49,48,113,104,40,119,33,52,58,41
STnc3600,7,8,9,23,14,3,39,26,21,7,14,13,62,10,50,166,8
STnc2040,89,96,243,7690,387,24,35,63,59,10814,140,85,68,106,86,459,127
STnc3610,18,28,36,24,28,18,57,39,41,42,31,38,61,52,17,48,17
STnc3620,17,24,110,75,33,9,89,48,53,50,47,42,12,30,20,50,35
STnc3630,19,29,99,220,57,9,64,40,80,446,590,108,42,54,99,103,37
STnc1130,32,33,24,34,15,27,42,36,22,64,54,28,41,86,75,93,75
STnc3640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SraC,100,160,394,303,127,277,751,233,883,142,290,603,520,914,1241,1398,439
SdsR,777,1112,2683,5754,126629,1251,1340,1463,931,1812,3855,3887,2012,7210,4656,9852,3722
STnc1690,258,409,487,351,675,101,813,17,321,773,171,264,952,650,609,480,31
STnc200,96,101,89,119,60,101,83,170,240,160,149,142,151,95,171,204,43
RyeF,18,17,22,37,147,16,112,27,38,43,65,33,38,96,49,88,2202
STnc2180,7857,7428,4442,1028,31,14581,6594,2676,1028,758,3971,3514,4298,4339,397,1743,187
DsrA,783,1000,1687,1665,926,1036,2753,928,1959,4009,2030,1210,4381,1787,1551,4076,173
RseX,5,3,11,14,6,8,15,8,4,7,1,6,24,8,7,8,21
STnc1280,439,607,1522,3108,3329,434,1088,282,1080,1379,1864,1969,3275,6696,6298,4122,2871
STnc1290,7511,5601,6434,8516,17141,3971,9214,493,6041,7495,8165,6473,13955,14642,13439,11872,7514
STnc1300,1073,1329,1819,1294,246,916,2478,149,1676,2197,1931,2061,4384,3086,3333,3097,958
STnc1310,205,170,335,469,165,44,281,234,200,510,272,208,909,1134,2249,2373,105
STnc2050,6801,9918,2812,507,54,14013,3415,4173,2958,1163,1239,1130,2964,1597,70,440,98
STnc3680,84,126,105,80,25,195,103,66,123,48,104,94,85,79,48,65,62
STnc1530,9,19,24,36,53,18,39,9,69,127,48,39,27,38,56,103,11
STnc3700,26,24,24,26,22,13,79,18,43,55,30,22,46,57,92,93,29
STnc1650,36,43,52,50,51,34,47,36,58,64,83,46,40,56,86,99,24
STnc700,869,1228,1281,912,211,938,1726,1234,2206,1733,1295,1115,2147,3373,1038,1828,733
STnc1320,81,90,95,92,72,66,119,78,101,224,138,88,69,100,152,111,24
RyeC,1247,1518,4615,3682,578,709,2035,225,2400,2134,4492,4457,3242,3662,3368,2562,2827
STnc1150,218,407,442,432,233,101,215,519,365,415,189,382,500,1049,967,748,345
CyaR,451,1889,10601,12000,725,517,760,2233,4656,7388,3228,678,2653,473,466,182,1595
STnc740,85,90,82,124,134,65,176,105,93,132,80,74,129,163,193,295,70
STnc1890,31,33,39,51,283,26,43,29,51,52,42,42,48,48,61,165,13
STnc3720,4,9,29,34,34,7,69,7,36,44,48,33,13,38,59,99,19
STnc1330,27,33,174,313,503,31,951,85,88,103,319,159,100,332,404,1013,412
STnc3010,82,126,166,120,11,141,138,161,143,209,153,126,138,185,67,138,90
STnc1340,96,120,158,677,119,69,122,92,138,3678,427,83,99,202,297,120,253
STnc1540,379,441,573,414,283,163,748,72,491,528,488,396,485,538,384,456,49
IsrG,6,2,5,2,4,0,1,2,3,2,2,4,3,2,0,2,3
MicF,1515,1524,708,439,940,1121,1636,5629,2717,1232,2350,1144,170,1299,781,1797,1588
IsrH_1_2,2,2,1,6,22,2,7,1,2,2,2,2,2,39,39,71,26
STnc1550,60,111,197,151,52,16,395,105,162,47,148,93,101,28,42,44,34
STnc1560,1185,1638,592,403,365,670,1355,514,1868,1990,948,755,414,649,890,715,32
STnc3730,13,19,34,24,16,16,30,28,27,31,27,21,49,82,58,47,121
STnc3740,51,89,155,166,488,53,133,14,109,189,224,189,146,289,307,529,117
STnc3750,48,45,197,453,107,33,228,122,50,51,180,204,99,566,320,527,5593
tpke70,10,9,12,14,8,8,15,16,16,36,16,16,16,14,11,35,13
STnc3760,52,62,68,57,13,49,135,59,164,164,160,78,53,81,137,92,25
STnc2070,537,1003,843,646,320,734,2457,811,729,1015,1289,901,824,2847,2860,2377,703
RyfA,114,121,128,133,31,62,156,177,160,243,312,262,131,243,377,262,278
GlmY,1837,2360,2616,1422,1605,1630,4212,414,1256,783,2473,3642,4841,6386,4098,1219,4134
STnc1380,548,542,657,583,17,446,745,40,634,946,912,705,631,881,977,946,317
STnc3770,24,37,27,25,16,82,93,7,102,91,46,25,41,54,62,47,15
STnc1920,77,88,126,142,115,39,102,104,88,141,159,90,113,305,374,327,534
IsrI,16,11,26,22,26,14,32,7,12,20,31,19,14,30,26,66,48
STnc2080,524,537,887,990,8798,414,706,316,422,778,815,747,1032,2510,2003,2520,554
IsrJ,612,988,750,334,963,547,1624,757,626,830,622,638,486,553,1238,822,519
STnc1160,5768,6673,6915,3186,28869,3150,8376,720,5798,5823,5055,5060,8991,13596,13289,8669,3296
IsrK,1113,1531,1245,296,112,730,1297,391,1433,330,641,919,895,1296,685,1018,335
STnc1390,2769,2502,2291,1346,521,1363,3789,350,2771,2064,2054,1501,1518,1519,2977,1797,292
STnc1400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STnc3160,63,92,302,101,500,61,159,88,236,101,196,125,202,50,27,475,18
STnc2090,40,101,674,1879,2330,52,2096,323,3338,36916,14391,775,183,237,2476,2949,882
sRNA3,284,366,429,392,134,367,902,579,664,472,686,450,710,1306,633,903,1287
STnc3790,7,9,10,14,22,3,81,13,29,59,42,21,10,15,74,40,17
STnc3800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STnc4230,274,278,210,142,30,679,78,236,284,57,181,217,283,316,95,267,86
IsrL,10,9,11,11,5,3,14,14,16,9,12,11,12,10,6,9,14
STnc3070,143,213,150,346,387,76,478,236,769,2216,374,185,136,165,758,263,85
IsrM,2,1,0,2,3,2,3,2,2,10,2,2,2,2,1,2,4
IsrN,4,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,1
STnc3080,8,7,0,1,36,16,152,11,530,10,2,7,13,1,129,7,104
MicA,789,912,524,1561,11590,814,14499,758,3258,8322,7384,1043,1019,5020,22234,5987,23746
C0664,4,2,3,4,5,2,6,2,9,8,3,2,6,3,2,12,4
STnc4240,275,353,199,87,23,369,278,342,162,149,188,113,199,153,9,84,42
STnc3020,17,9,4,8,7,3,16,9,28,12,11,6,12,142,95,195,20
STnc1410,31,44,31,45,300,36,89,40,59,188,61,32,39,46,55,43,54
InvR,838,682,14302,22970,10210,514,853,558,641,1046,6288,16432,1468,488,1055,715,206
STnc3140,98,51,37,197,161,42,55,79,51,28,28,49,3824,2979,518,2576,28
CsrB,3426,7285,8216,6527,671,5831,5667,1494,7271,7878,9452,5506,3627,1411,1934,1188,679
GcvB,12952,26190,11336,5409,115,21703,2497,28799,17380,13597,29090,16197,42,34,121,25,2656
STnc3830,44,47,36,58,59,58,238,110,213,173,56,23,38,30,118,67,23
OmrA,1125,900,1058,688,1863,1103,1254,3446,2009,952,1577,814,284,3381,3368,2436,2677
OmrB,3676,3443,4131,1919,732,3175,5259,13081,9970,2423,4692,2194,1293,23451,26872,14549,8263
STnc290,371,422,967,1340,1171,270,683,302,796,551,801,493,1386,661,852,1249,199
IsrO,37,25,32,39,44,30,63,60,41,61,47,27,18,24,17,35,27
SsrS,26778,37205,41639,40582,158232,31026,45326,3894,42343,59066,64520,52325,25285,44301,50606,41179,33941
RygC,2242,2962,6279,3706,1136,717,1502,580,3644,966,3349,5553,5583,7858,2267,3712,3571
STnc3030,35,88,129,53,23,69,117,181,189,53,43,28,45,50,22,33,20
STnc750,442,466,578,418,568,345,343,426,469,591,485,396,330,360,388,543,190
STnc3150,18,27,6,12,7,24,64,34,37,51,16,10,14,31,19,45,24
STnc3850,36,52,35,30,6,107,41,57,81,28,32,23,25,46,9,25,9
STnc3860,27,30,33,52,136,15,114,56,96,276,40,36,34,49,89,84,28
STnc3870,24,15,40,95,64,31,113,23,122,144,1286,181,49,75,105,110,5695
STnc3880,9,22,102,68,22,6,109,37,276,20,21,29,61,40,79,133,25
STnc1170,5,3,15,139,19,4,26,7,9,298,517,25,10,14,10,18,118
STnc3890,62,73,81,64,46,68,648,68,431,173,99,91,173,93,336,304,17
STnc1820,203,347,158,100,169,213,491,126,180,317,182,118,97,90,402,130,44
STnc3920,3,2,1,2,224,4,10,0,0,1,0,0,1,0,4,3,1
SroG,695,913,657,465,26,1013,1007,968,1005,519,589,711,723,954,331,303,1000
STnc1420,178,78,56,189,144,110,97,46,116,122,186,81,82,65,108,95,240
RygD,2087,2491,5019,3839,1036,621,2960,839,4190,2032,4821,5551,3984,6018,6377,4452,3532
SraF,591,882,1364,870,365,1376,2028,547,1154,278,418,954,1958,326,89,476,200
STnc310,12,16,30,9,67,13,131,11,128,7,10,24,18,13,70,88,14
SraG,2767,2954,1843,1000,123,4542,1565,2685,1626,610,1009,1099,1943,2073,512,893,836
STnc3950,27,30,28,19,26,25,41,32,48,49,31,18,16,21,33,33,13
STnc1660,300,219,208,188,34,270,261,212,130,169,166,285,264,88,36,69,241
STnc3960,69,91,94,43,30,68,60,82,104,44,79,123,66,43,47,74,17
STnc3970,201,168,119,77,46,141,217,63,261,190,184,71,216,125,375,419,29
ArcZ,3021,2887,12374,18228,43377,3254,3316,6049,6946,8753,9313,4471,11934,9200,12145,11968,1854
STnc3060,54,88,59,52,17,65,314,145,135,143,53,61,74,91,69,93,36
STnc3050,37,49,62,72,40,19,73,6,46,78,40,45,71,165,161,100,166
STnc2100,39,25,24,20,19,73,58,138,36,52,51,37,29,53,56,130,25
STnc3990,39,67,43,33,14,32,72,93,66,55,49,36,22,49,55,82,34
STnc1670,1,1,10,93,12,1,13,15,67,1457,116,9,4,14,28,13,145
STnc4000,70,68,18,17,146,62,217,67,438,7,11,41,52,29,266,55,70
STnc1590,1642,1770,1347,977,378,1622,3867,773,1950,1000,1786,1130,1679,1220,767,1371,403
STnc340,49,39,26,13,20,45,31,22,20,10,12,23,16,22,20,15,5
STnc760,49,81,156,171,23,45,107,132,192,130,93,175,148,1881,2079,3261,159
STnc4010,0,2,8,13,33,1,81,4,10,20,11,6,2,5,7,23,5
RyhB‑1,189,133,28,27,894,430,534,164,8688,66,14,74,352,26,2686,1277,2011
STnc1830,11,10,15,18,17,1,51,6,11,11,12,17,40,42,48,80,9
sRNA12,1,4,16,16,36,1,12,2,6,12,21,17,2,9,15,32,10
STnc770,171,222,244,441,89,94,388,234,168,1179,536,210,123,204,240,160,125
STnc350,69,84,59,48,9,50,125,99,89,140,131,80,5,18,35,24,17
STnc4020,87,108,99,46,8,117,151,56,207,33,73,71,105,85,20,176,11
STnc1430,210,235,343,348,46,196,226,248,470,419,474,282,253,167,214,185,250
STnc710,14084,9373,9234,11318,10827,10291,8608,956,11150,3125,15371,8313,12418,5503,5314,13137,1685
STnc780,252,243,168,149,58,206,342,246,160,261,135,101,194,121,82,164,166
STnc380,41,38,7,11,25,17,211,27,112,16,34,75,25,71,217,133,23
AmgR,3,2,3,3,6,0,10,2,4,4,3,3,2,4,4,13,3
STnc4040,32,49,59,69,35,15,41,71,97,452,66,41,66,47,26,88,40
IstR‑1_2,131,149,127,79,176,245,628,59,123,155,213,134,185,194,412,284,31
STnc2110,104,183,45,71,41,90,2327,153,1478,544,30,338,140,70,103,226,355
RNaseP,1784,2147,935,249,9,1975,1031,965,581,94,127,469,1045,583,58,73,351
STnc4250,603,620,355,188,12,525,162,539,482,180,102,233,412,289,95,89,205
STnc3170,5,5,13,28,13,3,8,21,13,51,17,8,13,73,255,48,212
STnc400,26921,39458,72612,108518,138735,94969,34037,10432,57026,88797,206282,120468,56683,86315,146040,149834,1878
STnc1860,273,352,238,245,57,343,1658,37,510,341,225,354,200,332,435,285,70
GlmZ,2292,3092,3547,1977,467,2800,2749,1051,2240,1983,2452,2649,2918,7092,3218,1889,634
STnc790,25,53,242,115,248,17,709,51,86,58,23,39,42,20,26,32,64
Spf,15975,13639,1065,589,657,23615,8997,14856,5800,8093,3658,8092,12349,14821,16586,24548,3081
CsrC,2421,4428,8937,13336,2438,1669,2878,4024,3760,5885,8095,6790,4362,3631,5612,4706,5083
STnc800,481,1218,370,414,15,612,399,858,791,1005,195,400,1954,2602,2348,3190,384
STnc3120,30,33,58,46,231,15,144,43,40,122,61,42,27,17,79,93,13
STnc870,1313,1777,3606,4373,19562,1325,5386,2602,1718,1939,1331,3406,3218,35,59,54,2648
IsrP,38,37,40,25,11,48,21,51,29,13,28,25,41,58,24,33,67
STnc4070,61,43,44,37,7,34,76,43,79,45,49,25,33,15,21,46,13
STnc4080,11,11,4,4,47,15,13,6,15,118,7,3,21,19,682,21,8
STnc1600,43,78,126,163,23,58,104,95,232,420,96,76,128,96,125,93,128
OxyS,88,111,72,49,89,103,161,5673,172,171,1821,6920,51,72,10603,270,81
STnc3490,39,47,32,16,23,33,152,38,33,67,23,25,31,32,24,32,9
STnc1460,6174,5511,3912,3269,194,5910,5868,423,9108,2871,2192,2831,7594,4353,3828,2074,714
STnc4100,30,47,52,41,10,100,59,23,85,48,82,45,60,66,62,103,27
STnc810,29,340,275,476,42,154,66,133,1049,2092,119,22,73,46,36,64,24
STnc2130,103,918,1227,1323,502,673,382,328,2195,3909,2439,1633,427,551,619,893,74
STnc880,413,1950,2797,1284,1092,1367,2717,2663,6114,610,630,515,1312,342,135,251,274
SraL,24,21,243,403,1157,27,625,14,101,177,868,401,90,1047,1873,2207,683
STnc630,543,535,740,536,106,521,1781,1273,642,370,774,829,893,9844,16185,6593,1532
STnc1180,16,23,39,49,19,12,27,32,29,41,489,150,29,21,25,24,25
STnc4110,33,33,48,62,199,15,96,30,59,173,52,47,53,21,115,53,13
STnc440,456,384,2905,4663,2629,312,1916,1256,396,682,1619,2893,843,15228,21251,18705,92639
STnc3000,44,31,33,30,15,29,151,13,120,6,20,29,42,27,49,74,5
STnc4120,82,115,90,88,109,61,85,135,128,104,111,66,87,90,105,174,82
STnc1740,94,134,51,34,20,219,55,166,146,164,69,33,44,57,30,57,15
STnc2160,29,43,118,152,23,30,64,41,103,236,244,61,83,50,59,97,24
IsrQ,5,2,1,2,2,1,2,0,1,2,0,0,2,1,1,1,8
STnc4260,21,20,31,9,25,20,496,37,91,15,15,31,18,37,61,55,32
STnc4130,42,58,60,106,71,44,268,30,130,172,164,84,67,79,255,155,11
STnc1470,4263,2279,2798,2992,2439,1950,4761,107,3199,3075,3670,3435,3846,2891,2977,5496,1052
STnc4140,150,140,156,132,262,122,105,109,234,236,244,124,174,79,195,408,60
